chapter_no,chapter_name,section_no,section_name,excerise,problem_no,question
,,,,,12RP,"For ? =  (x, y): 0 < x + y < 1, 0 <x< 1, 0 <y< 1  , a region in the plane, let f(x, y) =  3(x + y) if (x, y) ? ? 0 otherwise be the joint probability density function of the random variables X and Y . Find the marginal probability density functions of X and Y , and P(X + Y > 1/2)."
,,,,,13RP,"Let X and Y be continuous random variables with the joint probability density function f(x, y) =  e?y if y > 0, 0 <x< 1 0 elsewhere. Find E(Xn | Y = y), n ? 1."
,,,,,14RP,"From an ordinary deck of 52 cards, cards are drawn successively and with replacement. Let X and Y denote the number of spades in the first 10 cards and in the second 15 cards, respectively. Calculate the joint probability mass function of X and Y"
,,,,,15RP,"Let the joint probability density function of X and Y be given by f(x, y) =  cx(1 ? x) if 0 ? x ? y ? 1 0 otherwise. (a) Determine the value of c. (b) Determine if X and Y are independent."
,,,,,16RP,"A point is selected at random from the bounded region between the curves y = x2?1 and y = 1 ? x2. Let X be the x-coordinate, and let Y be the y-coordinate of the point selected. Determine if X and Y are independent."
,,,,,17RP,"Let X and Y be two independent uniformly distributed random variables over the intervals (0, 1) and (0, 2), respectively. Find the probability density function of X/Y ."
,,,,,18RP,"If F is the probability distribution function of a random variable X, is G(x, y) = F(x) + F(y) a joint probability distribution function?"
,,,,,19RP,A bar of length  is broken into three pieces at two random spots. What is the probability that the length of at least one piece is less than /20?
,,,,,20RP,There are prizes in 10% of the boxes of a certain type of cereal. Let X be the number of boxes of such cereal that Kim should buy to find a prize. Let Y be the number of additional boxes of such cereal that she should purchase to find another prize. Calculate the joint probability mass function of X and Y .
,,,,,21RP,"Let the joint probability density function of random variables X and Y be given by f(x, y) =  1 if |y| < x, 0 <x< 1 0 otherwise. Show that E(Y | X = x) is a linear function of x while E(X | Y = y) is not a
linear function of y."
,,,,,22RP,"(The Wallet Paradox) Consider the following “paradox” given by Martin Gardner in his book Aha! Gotcha (W. H. Freeman and Company, New York, 1981). Each of two persons places his wallet on the table. Whoever has the smallest amount of money in his wallet, wins all the money in the other wallet. Each of the players reason as follows: “I may lose what I have but I may also win more than I have. So the game is to my advantage.” As Kent G. Merryfield, Ngo Viet, and Saleem Watson have observed in their paper “The Wallet Paradox” in the August–September 1997 issue of the American Mathematical Monthly, Paradoxically, it seems that the game is to the advantage of both players. ... However, the inference that “the game is to my advantage” is the source of the apparent paradox, because it does not take into account the probabilities of winning or losing. In other words, if the game is played many times, how often does a player win? How often does he lose? And by how much? Following the analysis of Kent G. Merryfield, Ngo Viet, and Saleem Watson, let X and Y be the amount of money in the wallets of players A and B, respectively. Let WA and WB be the amount of money that player A and B will win, respectively. WA(X, Y ) = ?WB(X, Y ) and WA(X, Y ) = ? ?? ?? ?X if X>Y Y if X<b< ?. Show that E(WA) = E(WB)=0."
9,Multivariate Distributions,9.1,Joint Distributions of n > 2 Random Variables,Exercise A,1EA,"From an ordinary deck of 52 cards, 13 cards are selected at random. Calculate the joint probability mass function of the numbers of hearts, diamonds, clubs, and spades selected."
,,,,,2EA,"A jury of 12 people is randomly selected from a group of eight Afro-American, seven Hispanic, three Native American, and 20 white potential jurors. Let A, H, N, and W be the number of Afro-American, Hispanic, Native American, and white jurors selected, respectively. Calculate the joint probability mass function of A, H, N, W and the marginal probability mass function of A."
,,,,,3EA,"Let p(x, y, z)=(xyz)/162, x = 4, 5, y = 1, 2, 3, and z = 1, 2, be the joint probability mass function of the random variables X, Y , Z. (a) Calculate the joint marginal probability mass functions of X, Y ; Y , Z; and X, Z. (b) Find E(Y Z)"
,,,,,4EA,"Let the joint probability density function of X, Y , and Z be given by f(x, y, z) =  6e?x?y?z if 0 <x<y<z< ? 0 elsewhere. (a) Find the marginal joint probability density function of X, Y ; X, Z; and Y , Z. (b) Find E(X)"
,,,,,5EA,"From the set of families with two children a family is selected at random. Let X1 = 1 if the first child of the family is a girl; X2 = 1 if the second child of the family is a girl; and X3 = 1 if the family has exactly one boy. For i = 1, 2, 3, let Xi = 0 in other cases. Determine if X1, X2, and X3 are independent. Assume that in a family the probability that a child is a girl is independent of the gender of the other children and is 1/2."
,,,,,6EA,"Let X, Y , and Z be jointly continuous with the following joint probability density function: f(x, y, z) =  x2e?x(1+y+z) if x, y, z > 0 0 otherwise. Are X, Y , and Z independent? Are they pairwise independent?"
,,,,,7EA,"Let the joint probability distribution function of X, Y , and Z be given by F(x, y, z) = (1 ? e??1x)(1 ? e??2y)(1 ? e??3z), x, y, z > 0, where ?1, ?2, ?3 > 0. (a) Are X, Y , and Z independent? (b) Find the joint probability density function of X, Y , and Z. (c) Find P(X<Z)."
,,,,,8EA,"(a) Show that the following is a joint probability density function. f(x, y, z) = ? ??? ??? ?ln x xy if 0 < z ? y ? x ? 1 0 otherwise. (b) Suppose that f is the joint probability density function of X, Y , and Z. Find fX,Y (x, y) and fY (y)."
,,,,,9EA,"Inside a circle of radius R, n points are selected at random and independently. Find the probability that the distance of the nearest point to the center is at least r."
,,,,,10EA,"A point is selected at random from the cube ? = (x, y, z): ? a ? x ? a, ?a ? y ? a, ?a ? z ? a  . What is the probability that it is inside the sphere inscribed in the cube?"
,,,,,11EA,"Is the following a joint probability density function? f(x1, x2,...,xn) =  e?xn if 0 < x1 < x2 < ··· < xn 0 otherwise."
,,,,,12EA,"Suppose that the lifetimes of radio transistors are independent exponential random variables with mean five years. Arnold buys a radio and decides to replace its transistor upon failure two times: once when the original transistor dies and once when the replacement dies. He stops using the radio when the second replacement of the transistor goes out of order. Assuming that Arnold repairs the radio if it fails for any other reason, find the probability that he uses the radio at least 15 years"
,,,,,13EA,"Let X1, X2,...,Xn be independent exponential random variables with means 1/?1, 1/?2, ..., 1/?n, respectively. Find the probability distribution function of X = min(X1, X2,...,Xn)."
,,,,,14EA,"(Reliability of Systems) Suppose that a system functions if and only if at least k (1 ? k ? n) of its components function. Furthermore, suppose that pi = p for 1 ? i ? n. Find the reliability of this system. (Such a system is said to be a k-out-of-n system.)"
,,,,Exercise B,1EB,"An item has n parts, each with an exponentially distributed lifetime with mean 1/?. If the failure of one part makes the item fail, what is the average lifetime of the item? Hint: Use the result of Exercise 13."
,,,,,2EB,"Suppose that the lifetimes of a certain brand of transistor are identically distributed and independent random variables with probability distribution function F. These transistors are randomly selected, one at a time, and their lifetimes are measured. Let the Nth be the first transistor that will last longer than s hours. Let XN be the lifetime of this transistor. Are N and XN independent random variables?"
,,,,,3EB,Reliability of Systems) Consider the system whose structure is shown in Figure 9.4. Find the reliability of this system
,,,,,4EB,"Let X1, X2,...,Xn be n independent random numbers from the interval(0, 1). Find E  max 1?i?n Xi  and E  min 1?i?n Xi  ."
,,,,,5EB,"Let F be a probability distribution function. Prove that the functions F n and 1 ? (1 ? F)n are also probability distribution functions. Hint: Let X1, X2,...,Xn be independent random variables each with the probability distribution function F. Find the probability distribution functions of the random variables max(X1, X2,...,Xn) and min(X1, X2,...,Xn)."
,,,,,6EB,"Let X1, X2,...,Xn be n independent random numbers from (0, 1), and Yn = n · min(X1, X2,...,Xn). Prove that limn?? P(Yn > x) = e?x, x ? 0"
,,,,,7EB,"Suppose that h is the probability density function of a continuous random variable. Let the joint probability density function of X, Y , and Z be f(x, y, z) = h(x)h(y)h(z), x, y, z ? R. Prove that P(X"
,,,,,8EB,"(Reliability of Systems) To transfer water from point A to point B, a watersupply system with five water pumps located at the points 1, 2, 3, 4, and 5 is designed as in Figure 9.5. Suppose that whenever the system is turned on for water to flow from A to B, pump i, i ? 5, functions with probability pi independent of the other pumps. What is the probability that, at such a time, water reaches B?"
,,,,,9EB,"A point is selected at random from the pyramid V = (x, y, z): x, y, z ? 0, x + y + z ? 1  . Letting (X, Y, Z) be its coordinates, determine if X, Y , and Z are independent. Hint: Recall that the volume of a pyramid is Bh/3, where h is the height and B is the area of the base."
,,,,,10EB,"(Roots of Quadratic Equations) Three numbers A, B, and C are selected at random and independently from the interval (0, 1). Determine the probability that the quadratic equation Ax2 + Bx + C = 0 has real roots. In other words, what fraction of “all possible quadratic equations” with coefficients in (0, 1) have real roots?"
,,,,,11EB,"(Roots of Cubic Equations) Solve the following exercise posed by S. A. Patil and D. S. Hawkins, Tennessee Technological University, Cookeville, Tennessee, in The College Mathematics Journal, September 1992. Let A, B, and C be independent random variables uniformly distributed on [0, 1]. What is the probability that all of the roots of the cubic equation x3 + Ax2 + Bx + C = 0 are real?"
